CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1E_School closing,C1E_Flag,C1NV_School closing,C1NV_Flag,C1V_School closing,C1V_Flag,C1M_School closing,C1M_Flag,C1_Notes,C2E_Workplace closing,C2E_Flag,C2NV_Workplace closing,C2NV_Flag,C2V_Workplace closing,C2V_Flag,C2M_Workplace closing,C2M_Flag,C2_Notes,C3E_Cancel public events,C3E_Flag,C3NV_Cancel public events,C3NV_Flag,C3V_Cancel public events,C3V_Flag,C3M_Cancel public events,C3M_Flag,C3_Notes,C4E_Restrictions on gatherings,C4E_Flag,C4NV_Restrictions on gatherings,C4NV_Flag,C4V_Restrictions on gatherings,C4V_Flag,C4M_Restrictions on gatherings,C4M_Flag,C4_Notes,C5E_Close public transport,C5E_Flag,C5NV_Close public transport,C5NV_Flag,C5V_Close public transport,C5V_Flag,C5M_Close public transport,C5M_Flag,C5_Notes,C6E_Stay at home requirements,C6E_Flag,C6NV_Stay at home requirements,C6NV_Flag,C6V_Stay at home requirements,C6V_Flag,C6M_Stay at home requirements,C6M_Flag,C6_Notes,C7E_Restrictions on internal movement,C7E_Flag,C7NV_Restrictions on internal movement,C7NV_Flag,C7V_Restrictions on internal movement,C7V_Flag,C7M_Restrictions on internal movement,C7M_Flag,C7_Notes,C8E_International travel controls,C8NV_International travel controls,C8V_International travel controls,C8EV_International travel controls,C8_Notes,E1E_Income support,E1E_Flag,E1_Notes,E2E_Debt/contract relief,E2_Notes,E3E_Fiscal measures,E3_Notes,E4E_International support,E4_Notes,H1E_Public information campaigns,H1E_Flag,H1_Notes,H2E_Testing policy,H2_Notes,H3E_Contact tracing,H3_Notes,H4E_Emergency investment in healthcare,H4_Notes,H5E_Investment in vaccines,H5_Notes,H6E_Facial Coverings,H6E_Flag,H6NV_Facial Coverings,H6NV_Flag,H6V_Facial Coverings,H6V_Flag,H6M_Facial Coverings,H6M_Flag,H6_Notes,H7E_Vaccination policy,H7E_Flag,H7_Notes,H8E_Protection of elderly people,H8E_Flag,H8NV_Protection of elderly people,H8NV_Flag,H8V_Protection of elderly people,H8V_Flag,H8M_Protection of elderly people,H8M_Flag,H8_Notes,M1E_Wildcard,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,PopulationVaccinated,StringencyIndex_NonVaccinated,StringencyIndex_NonVaccinated_ForDisplay,StringencyIndex_Vaccinated,StringencyIndex_Vaccinated_ForDisplay,StringencyIndex_SimpleAverage,StringencyIndex_SimpleAverage_ForDisplay,StringencyIndex_WeightedAverage,StringencyIndex_WeightedAverage_ForDisplay,GovernmentResponseIndex_NonVaccinated,GovernmentResponseIndex_NonVaccinated_ForDisplay,GovernmentResponseIndex_Vaccinated,GovernmentResponseIndex_Vaccinated_ForDisplay,GovernmentResponseIndex_SimpleAverage,GovernmentResponseIndex_SimpleAverage_ForDisplay,GovernmentResponseIndex_WeightedAverage,GovernmentResponseIndex_WeightedAverage_ForDisplay,ContainmentHealthIndex_NonVaccinated,ContainmentHealthIndex_NonVaccinated_ForDisplay,ContainmentHealthIndex_Vaccinated,ContainmentHealthIndex_Vaccinated_ForDisplay,ContainmentHealthIndex_SimpleAverage,ContainmentHealthIndex_SimpleAverage_ForDisplay,ContainmentHealthIndex_WeightedAverage,ContainmentHealthIndex_WeightedAverage_ForDisplay,EconomicSupportIndex,EconomicSupportIndex_ForDisplay
Canada,CAN,Alberta,CAN_AB,STATE_TOTAL,20210101,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,,1.00,0,,,,,1.00,0,,4.00,,,4.00,,1.00,0,,0.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,2.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,0,2,5,,0,,97394,1116,0.00,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,57.19,57.19,57.19,57.19,57.19,57.19,57.19,57.19,63.57,63.57,63.57,63.57,63.57,63.57,63.57,63.57,12.50,12.50
Canada,CAN,Alberta,CAN_AB,STATE_TOTAL,20210102,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,,1.00,0,,,,,1.00,0,,4.00,,,4.00,,1.00,0,,0.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,2.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,0,2,5,,0,,104619,1267,0.00,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,57.19,57.19,57.19,57.19,57.19,57.19,57.19,57.19,63.57,63.57,63.57,63.57,63.57,63.57,63.57,63.57,12.50,12.50
Canada,CAN,Alberta,CAN_AB,STATE_TOTAL,20210103,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,,1.00,0,,,,,1.00,0,,4.00,,,4.00,,1.00,0,,0.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,2.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,0,2,5,,0,,104619,1267,0.00,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,57.19,57.19,57.19,57.19,57.19,57.19,57.19,57.19,63.57,63.57,63.57,63.57,63.57,63.57,63.57,63.57,12.50,12.50
Canada,CAN,Alberta,CAN_AB,STATE_TOTAL,20210104,2.00,1,,,,,2.00,1,"All students in Alberta K-12 schools are required to attend classes remotely for the first week of classes after the holiday break (January 4-8). It was confirmed on January 4 that all students would be returning to in-person classes on Monday, January 11.     The University of Alberta has also extended their break to January 8, with classes resuming on January 11, while the University of Calgary started classes on January 4.    AB K-12 measures: https://web.archive.org/web/20210104215853/https://www.alberta.ca/enhanced-public-health-measures.aspx    U of A: https://web.archive.org/web/20210104215430/https://www.ualberta.ca/covid-19/updates/12/2020-12-18-updates-for-week-ending-dec-18.html    U of C: https://web.archive.org/web/20210104215531/https://ucalgary.ca/risk/emergency-management/covid-19-response",2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,,1.00,0,,,,,1.00,0,,4.00,,,4.00,,1.00,0,,0.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,2.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,0,2,5,,0,,104619,1267,0.00,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,57.19,57.19,57.19,57.19,57.19,57.19,57.19,57.19,63.57,63.57,63.57,63.57,63.57,63.57,63.57,63.57,12.50,12.50
Canada,CAN,Alberta,CAN_AB,STATE_TOTAL,20210105,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,,1.00,0,,,,,1.00,0,,4.00,,,4.00,,1.00,0,,0.00,"No change to this policy after searching",0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,2.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,0,2,5,,0,,104619,1267,0.00,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,57.19,57.19,57.19,57.19,57.19,57.19,57.19,57.19,63.57,63.57,63.57,63.57,63.57,63.57,63.57,63.57,12.50,12.50
Canada,CAN,Alberta,CAN_AB,STATE_TOTAL,20210106,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,,1.00,0,,,,,1.00,0,,4.00,,,4.00,,1.00,0,,0.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,2.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,0,2,5,,0,,104619,1267,0.00,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,57.19,57.19,57.19,57.19,57.19,57.19,57.19,57.19,63.57,63.57,63.57,63.57,63.57,63.57,63.57,63.57,12.50,12.50
Canada,CAN,Alberta,CAN_AB,STATE_TOTAL,20210107,2.00,1,,,,,2.00,1,"On January 7, the province confirmed in-person classes would start again for K-12 students on January 11.    https://web.archive.org/web/20210112000755/https://www.alberta.ca/enhanced-public-health-measures.aspx    https://web.archive.org/web/20210112000607/https://calgaryherald.com/news/local-news/live-at-4-p-m-kenney-expected-to-extend-covid-19-restrictions",2.00,1,,,,,2.00,1,"On January 7, Alberta has extended the business closure restrictions until at least January 21. The rules are as follows:    Mandatory work from home measures will be implemented unless the employer determines that work requires a physical presence for operational effectiveness. Restaurants, pubs, bars, lounges and cafes will also be closed to in-person service, with only takeout, curbside pickup and delivery services permitted. Casinos, bingo halls, gaming entertainment centres, racing entertainment centres, horse tracks, raceways, bowling alleys, pool halls, legions, and private clubs will be closed. Recreational facilities – fitness centres, recreation centres, pools, spas, gyms, studios, day and overnight camps, indoor rinks and arenas – will be closed. Entertainment businesses and entities – libraries, science centres, interpretive centres, museums, galleries, amusement parks and water parks – will be closed. Personal and wellness services, including hair salons, nail salons, massage, tattoos, and piercing, will be closed.    Outdoor recreation will still be permitted, but facilities with indoor spaces except for washrooms will be closed. Hotels may remain open but must follow restrictions – no spas, pools or in-person dining. Room services only. Health services, including physiotherapy or acupuncture, social or protective services, shelters for vulnerable persons, emergency services, child care, and not-for-profit community kitchens or charitable kitchens will remain open for in-person attendance. Retail services must reduce customer capacity to 15 per cent of fire code occupancy, with a minimum of five customers permitted. Curbside pickup, delivery and online services are encouraged. Shopping malls will be limited to 15 per cent of fire code occupancy.    https://web.archive.org/web/20210112000755/https://www.alberta.ca/enhanced-public-health-measures.aspx    https://web.archive.org/web/20210112000607/https://calgaryherald.com/news/local-news/live-at-4-p-m-kenney-expected-to-extend-covid-19-restrictions",2.00,1,,,,,2.00,1,"On January 7, Alberta has extended the restrictions on public and private gatherings to at least January 21. No indoor or outdoor gatherings are permitted with anyone outside one’s household. Individuals who live by themselves may have 2 close contacts to visit.    https://web.archive.org/web/20210112000755/https://www.alberta.ca/enhanced-public-health-measures.aspx    https://web.archive.org/web/20210112000607/https://calgaryherald.com/news/local-news/live-at-4-p-m-kenney-expected-to-extend-covid-19-restrictions",4.00,1,,,,,4.00,1,"On January 7, Alberta has extended the restrictions on public and private gatherings to at least January 21. No indoor or outdoor gatherings are permitted with anyone outside one’s household. Individuals who live by themselves may have 2 close contacts to visit.    https://web.archive.org/web/20210112000755/https://www.alberta.ca/enhanced-public-health-measures.aspx    https://web.archive.org/web/20210112000607/https://calgaryherald.com/news/local-news/live-at-4-p-m-kenney-expected-to-extend-covid-19-restrictions",0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,,1.00,0,,,,,1.00,0,,4.00,,,4.00,"From 7th Jan, all travellers arriving in Canada will be required to present negative COVID-19 PCR test results (for ages 5yrs+). Documentation of a negative laboratory test must be presented to the airline PRIOR to boarding a flight to Canada. Test must be taken within 72 hrs prior to traveller's scheduled departure to Canada.     https://archive.vn/YMutt",1.00,0,,0.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,"On January 6, it was reported that AHS has fallen short of its goal of hiring 1600 contact tracers, although 1250 have been hired. 59% of Alberta’s COVID-19 cases are still from unknown origins.    https://web.archive.org/web/20210112000023/https://calgary.ctvnews.ca/yardsticks-always-being-moved-alberta-fails-to-meet-its-2020-target-for-contact-tracers-1.5255966",0.00,,0.00,,3.00,1,,,,,3.00,1,,2.00,1,,2.00,1,,,,,2.00,1,,,,1,"The Government of Canada has begun vaccination of older, medically vulnerable federal inmates against COVID-19 as part of the first phase of the vaccine rollout.     This has been coded as 1 National target group because the inmates are under Federal jurisdiction.    While the National Advisory Committee on Immunization (NACI) continues to advise and prioritise groups for vaccination, the provinces and territories have been given autonomy in how that is administered.     https://archive.vn/FRysC ",1,,,,0,0,0,2,5,,0,,104619,1267,0.00,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,57.19,57.19,57.19,57.19,57.19,57.19,57.19,57.19,63.57,63.57,63.57,63.57,63.57,63.57,63.57,63.57,12.50,12.50
Canada,CAN,Alberta,CAN_AB,STATE_TOTAL,20210108,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,,1.00,0,,,,,1.00,0,,4.00,,,4.00,,1.00,0,,0.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,2.00,1,"A,C: On January 8, the government announced that  3,300 COVID-19-unit staff and 15,400 medical and surgical staff are also now eligible for the COVID-19 vaccine (either Pfizer or Moderna).     https://web.archive.org/web/20210112001243/https://edmonton.ctvnews.ca/alberta-shuffles-vaccine-priority-list-moves-up-covid-19-unit-staff-1.5259691    https://web.archive.org/web/20210112001338/https://www.alberta.ca/release.cfm?xID=76026E95571B6-99DF-0ED1-B92B9DFF128D4ADB",2.00,1,,,,,2.00,1,,,,1,,1,"The Government of Canada has begun vaccination of older, medically vulnerable federal inmates against COVID-19 as part of the first phase of the vaccine rollout.     This has been coded as 1 National target group because the inmates are under Federal jurisdiction.    While the National Advisory Committee on Immunization (NACI) continues to advise and prioritise groups for vaccination, the provinces and territories have been given autonomy in how that is administered.     https://archive.vn/FRysC ",,,0,0,0,2,5,"Starting on the 8th Jan'21, the Government of Canada has begun vaccination of older, medically vulnerable federal inmates against COVID-19 as part of the first phase of the vaccine rollout.     This has been coded as 1 National target group because the inmates are under Federal jurisdiction.    While the National Advisory Committee on Immunization (NACI) continues to advise and prioritise groups for vaccination, the provinces and territories have been given autonomy in how that is administered.     https://archive.vn/FRysC ",0,"There are no federal vaccine mandates in place.",104619,1267,0.00,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,57.19,57.19,57.19,57.19,57.19,57.19,57.19,57.19,63.57,63.57,63.57,63.57,63.57,63.57,63.57,63.57,12.50,12.50
Canada,CAN,Alberta,CAN_AB,STATE_TOTAL,20210109,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,,1.00,0,,,,,1.00,0,,4.00,,,4.00,,1.00,0,,0.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,2.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,0,2,5,,0,,111714,1426,0.00,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,57.19,57.19,57.19,57.19,57.19,57.19,57.19,57.19,63.57,63.57,63.57,63.57,63.57,63.57,63.57,63.57,12.50,12.50
Canada,CAN,Alberta,CAN_AB,STATE_TOTAL,20210110,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,2.00,1,,,,,2.00,1,,4.00,1,,,,,4.00,1,,0.00,,,,,,0.00,,,1.00,1,,,,,1.00,1,,1.00,0,,,,,1.00,0,,4.00,,,4.00,,1.00,0,,0.00,,0.00,,0.00,,2.00,1,,2.00,,1.00,,0.00,,0.00,,3.00,1,,,,,3.00,1,,2.00,1,,2.00,1,,,,,2.00,1,,,,1,,1,,,,0,0,0,2,5,,0,,111714,1426,0.00,65.74,65.74,65.74,65.74,65.74,65.74,65.74,65.74,57.19,57.19,57.19,57.19,57.19,57.19,57.19,57.19,63.57,63.57,63.57,63.57,63.57,63.57,63.57,63.57,12.50,12.50
